,prompt,completion
11,"Generate a Rick and Morty episode based on the title.
Title: A Rickle in Time
Episode:
","Continuing from ""Ricksy Business"", Rick, Morty and Summer spend six months repairing the house and screwing around with time frozen. After unfreezing it, the trio ends up in a decaying dimension. They split into separate timelines whenever they are uncertain about something. Rick becomes paranoid, thinking that his duplicates want to kill him, but eventually he calms down. A creature in charge of safeguarding time appears and gives them collars that integrate all the timelines, then attempts to arrest them because Rick stole the time-freezing crystal. Rick, Morty, and Summer show uncertainty on purpose and break the collars, splitting into sixty-four timelines, and they simultaneously beat up the same creature. Rick then repairs the collars, and they successfully integrate all the timelines. In one timeline, Rick attempts to sacrifice himself and let Morty live by giving him his collar, but ultimately he survives too. Meanwhile, Beth and Jerry hit a deer, and bring it to an animal hospital. A hunter claims the deer for his own because he shot it before the accident. Beth is able to save the deer's life and release it."
12,"Generate a Rick and Morty episode based on the title.
Title: Mortynight Run
Episode:
","Rick takes Morty on a trip to teach him how to pilot the flying car. When Rick realizes that Jerry has followed them without being noticed in the back seat, he leaves him in a daycare specifically designed for Jerries from alternate realities. Jerry socializes with other Jerries, some of them left there indefinitely because their Rick and Morty never returned. Rick sells an antimatter gun to Krombopulos Michael, an alien assassin who intends to use it to eliminate a gaseous being whom Rick nicknames Fart that is held captive by alien authorities. Rick plans to spend the day at the ""Blips & Chitz"" video arcade, but Morty decides to stop the assassin. After Rick and Morty release Fart, they are chased by the authorities. Fart uses telepathic powers to kill the authorities, which also leads to civilian casualties. Later, Morty learns that Fart wants to eliminate all carbon-based life forms. Morty then kills Fart using Krombopulous Michael's antimatter gun. Rick and Morty return to pick up their Jerry, but it is left unclear whether they got the right one."
13,"Generate a Rick and Morty episode based on the title.
Title: Auto Erotic Assimilation
Episode:
","Rick attempts to loot a damaged spaceship with Morty and Summer. They find Unity, a hive mind and Rick's ex-lover. It plans to eventually assimilate the whole universe. Beta 7 is a male hive mind who has a crush on Unity, which it rejects. In a planet completely assimilated by Unity, it and Rick have parties, have sex, and drink and use drugs together. In light of all the revelry, it loses control and the planet is left messy and untended. Summer finds the assimilation unethical, until she and Morty witness some inhabitants regain their identities and start a race war. Eventually, Unity decides to leave Rick for its own good. Meanwhile, Beth and Jerry find a secret underground room with a slug-like monster. The couple has an argument where Jerry makes accusations against Rick and Beth tries to defend her father. The monster breaks free of its chains and accuses Beth and Jerry of having the worst relationship it has ever seen. An upset Beth confronts a visibly distressed Rick, who attempts suicide in the garage but fails."
14,"Generate a Rick and Morty episode based on the title.
Title: Total Rickall
Episode:
","Alien parasites plant fake memories in the minds of the Smith family and pretend they are friends and family members. Every time the family reminisces about the past, the aliens reproduce. The family can't distinguish real people from aliens, so eventually they can't even trust each other. To prevent further spread, Rick locks down the house. At first, the only alien present is the fake ""Uncle Steve""; they are soon joined by other aliens including Cousin Nicky, Sleepy Gary (who poses as Beth's husband and Jerry's lover), the family butler Mr. Beauregard, Frankenstein's Monster, a talking pencil named Pencilvester, Tinkles the Fairy Lamb, etc. Mr. Poopybutthole is an unusual yellow creature who did not appear in any previous episode but appears to be a longtime friend. Eventually, Morty discovers that the parasites can only create positive memories, allowing the Smith family to confirm one another's existence and kill all the aliens. As they sit down to dinner, Beth shoots Mr. Poopybutthole, thinking he is a parasite as well, but he turns out to be real."
15,"Generate a Rick and Morty episode based on the title.
Title: Get Schwifty
Episode:
","A massive alien head (a ""Cromulon"") appears over Earth, demanding to hear an original song, so Rick and Morty improvise ""Get Schwifty"". The whole planet is abducted and forced to participate in a musical talent show, where the losers' planets are obliterated via plasma ray. Morty steals Rick's portal gun and leaves him alone with Ice-T—who was the only musician to survive the earthquake that struck the Grammy Awards—to make a hit original song and save earth. Morty stumbles across Birdperson (living with Tammy since S1E11 episode Ricksy Business), who persuades him to go back to Rick. Ice-T is revealed to be an ice alien who does not initially care about Earth, but he later changes his mind and saves the planet. Rick, Morty, and the US president win the competition by improvising ""Head Bent Over"". Meanwhile, Jerry, Beth, and Summer enter a religious cult based on an incorrect interpretation of the message from Cromulons. The movement quickly disbands after realizing it was all a musical talent show."
16,"Generate a Rick and Morty episode based on the title.
Title: The Ricks Must Be Crazy
Episode:
","Rick's flying car won't start, so he and Morty investigate the problem. The car's battery contains a miniature universe and Rick has been implying their destruction if they don't generate electricity. Inside it, Zeep Xanflorp, that universe's top scientist, created a second miniature universe for the same purpose. Rick, Morty and Zeep are left stranded in a third miniature universe, as the pilot commits suicide and destroys his ship. Rick and Zeep constantly fight, and Morty abandons them and becomes a native chief. Morty forces the two scientists to work together to escape. Upon exiting the universe, Rick realizes Zeep wants to trap and kill him and Morty. While escaping, Rick reveals that Morty can turn into a car if needed. Ultimately, Rick and Morty leave the battery, trapping Zeep. Zeep is forced to discontinue his miniature universe research and have his people resume generating electricity to prevent Rick from destroying their universe. Meanwhile, Summer is forced to stay in the flying car, which uses violence to ""keep Summer safe"" from strangers, while she protests. However, it's effectively pardoned once it prepares a peace treaty, ending the human-spider war that has existed in this alternate reality. As a result, ice cream is now served with flies to appeal to spiders."
17,"Generate a Rick and Morty episode based on the title.
Title: Big Trouble in Little Sanchez
Episode:
","Rick becomes ""Tiny Rick"" by transferring his mind to a teenager clone of himself in order to kill a vampire in Morty and Summer's school. Tiny Rick is outgoing and popular, but subconsciously cries for help in song lyrics and drawings. Much to the disdain of her classmates, Summer deliberately gets him expelled by denouncing him as the killer of Coach Feratu, the vampire. Morty and Summer eventually persuade Rick to return to his body. Meanwhile, Jerry and Beth experience couple therapy on an alien planet. Two manifestations of the partners' perceptions of one another are created: Jerry's Beth is embodied as a towering, hostile Xenomorph-like insectoid, and Beth's Jerry is a servile worm. The insectoid Beth goes on a rampage with the help of the worm Jerry, killing several couples and employees. Eventually, Jerry acts in a brave way, causing Beth to envision a strong Jerry, which in turn causes Jerry to envision a goddess-like Beth, who destroys the insectoid monster."
18,"Generate a Rick and Morty episode based on the title.
Title: Interdimensional Cable 2: Tempting Fate
Episode:
","Jerry is treated in an alien hospital after unknowingly ingesting some bacteria stored by Rick in a pint of Cherry Garcia. While his family is in the waiting room, watching an assortment of TV channels from alternate realities, Jerry is asked by doctors to donate his penis, to be converted into a replacement heart to save the life of civil rights activist Shrimply Pibbles. Jerry complies, but publicly tries to talk his way out of it nonetheless. This causes Jerry to be hated by the public, but also raises awareness as well as money to buy a synthetic heart for Pibbles. Eventually, Jerry changes his mind and holds the doctors hostage, demanding that they go through with the transplant procedure, but Security stops him. The family is then sent home, with Beth chastising Jerry that he shouldn't care so much about what strangers think of him."
19,"Generate a Rick and Morty episode based on the title.
Title: Look Who's Purging Now
Episode:
","Rick and Morty visit another planet to purchase wiper fluid and witness ""The Festival"", an annual event where the local populace commits crimes for one night without consequence. After initial hesitation, Morty forces Rick to rescue Arthricia, a young alien girl, who proceeds to betray them, stealing Rick's gun and spaceship. Rick calls Summer, who transports them advanced armor suits. Morty then goes on a seemingly uncharacteristic killing spree before Rick knocks him out, and he and Arthricia—who desired to stop the Festival—storm the castle of the corrupt nobility who introduced it, slaughtering them. The planet's remaining inhabitants decide to create a new society; however, rioting breaks out over disputes, and one suggests keeping the Festival after all. Morty feels guilt over his rampage, but Rick (falsely) blames it on the effects of a candy bar he ate, and asserts that his character remains unchanged."
20,"Generate a Rick and Morty episode based on the title.
Title: The Wedding Squanchers
Episode:
","Rick and his family attend the wedding of Birdperson and Tammy, whose guest list includes seventeen of the Federation's most wanted — including Rick and Birdperson. At the wedding reception, Tammy reveals herself to be a Federation agent and kills Birdperson. Numerous agents invade the building, starting a battle against the guests. Rick gets his family out of the wedding safely, but they are unable to return home as the Federation would be looking for them there, so Rick takes them to a terraformed asteroid. Rick overhears Jerry proposing to turn Rick in and return to Earth, so Rick allows himself to be arrested. His family returns to Earth, which has joined the Federation and is crowded by alien tourists. Jerry is assigned a job by the Federation."
21,"Generate a Rick and Morty episode based on the title.
Title: The Rickshank Rickdemption
Episode:
","Rick is interrogated via a mind-computer link, inside a galactic federal prison. Summer and Morty attempt to rescue him but they are captured by SEAL Team Ricks, who take them to the Citadel of Ricks and decide to assassinate Rick. Back at the prison, Rick tricks both the federal agents and his aspiring assassins by switching bodies with first the federal agents and then the Rick assassins to get to the teleporter room of the Citadel of Ricks. He then teleports the entire Citadel into the federal prison, prompting a massive battle. Amid the confusion, Rick rescues Morty and Summer, and uses the Galactic Federation's mainframe to make its currency worthless. The Federation falls into chaos and collapses as a result, and the aliens leave Earth. Rick, Morty, and Summer return home, where Jerry gives Beth an ultimatum to choose between him and Rick. Beth chooses Rick and the couple decide to get a divorce. After the new status quo is established, Rick reveals to Morty that his ulterior motive was to become his de facto male influence and get revenge at Jerry for threatening to turn him in to the authorities. This escalates into a monologue, centered around Rick's desire to find more of the discontinued McDonald's Szechuan sauce, a promotional product for the 1998 film Mulan."
22,"Generate a Rick and Morty episode based on the title.
Title: Rickmancing the Stone
Episode:
","Rick takes Morty and Summer to a post-apocalyptic version of Earth, where they are chased by a group of scavengers, known as Death Stalkers. Rick notices that the group is carrying a valuable rock of Isotope 322, so he and the kids join them in hope of stealing it. Summer falls in love with the Death Stalkers' leader, while Morty is given the strength of a giant arm, which takes him in search of its previous owner's killer. Rick leaves and replaces the kids with androids to fool Beth. When he returns, he helps the Death Stalkers use the Isotope to power a more advanced civilization. Summer does not like how the change softens the Death Stalkers, and she decides to follow Rick and Morty back home. Before leaving, Rick steals the isotope. The experience helps the kids overcome their parents' divorce. Summer reconciles with Jerry, and Morty realizes he must live his own life."
23,"Generate a Rick and Morty episode based on the title.
Title: Pickle Rick
Episode:
","Rick turns himself into a pickle to get out of attending a school-sanctioned family therapy, but Beth takes Rick's serum which would revert the transformation. Left alone, Rick eventually rolls into an open sewer drain, where he manages to manipulate the nervous systems of dead roaches and rats to build himself a mobile exoskeleton, with added weapons such as razors and drills. He unwittingly escapes into a foreign government agency. The guards try to kill Rick, under orders from the agency director, but Rick kills them all. In the process, Rick battles and ultimately befriends a prisoner named Jaguar. Near death and in need of the serum, Rick is forced to attend the therapy session, arriving towards the end. Dr. Wong gives her diagnosis, observing that Rick crafts relationships that punish emotions and vulnerability. On their way home, Rick apologizes to Beth for deceiving her and uses the serum to turn human again. Morty and Summer wish to continue seeing Dr. Wong, but Rick and Beth ignore them."
24,"Generate a Rick and Morty episode based on the title.
Title: Vindicators 3: The Return of Worldender
Episode:
","At Morty's insistence, Rick agrees to meet again with the Vindicators, a group of intergalactic superheroes, to fight their archnemesis, Worldender. Rick cannot hide his disdain for the superheroes, while Morty is thrilled. The next morning, the Vindicators enter Worldender's base. They find that, while Rick was blackout drunk the previous night, he killed Worldender and set up a variety of puzzles that the Vindicators must solve to survive. They start arguing and kill one another, while Morty solves all the puzzles. After all puzzles are solved, the only ones left alive are Rick, Morty, and Supernova, who is a member of the Vindicators. Supernova tries to kill Rick and Morty. Before she can do so, the three of them are transported to a party that Rick also set up while blackout drunk, where she gets away."
25,"Generate a Rick and Morty episode based on the title.
Title: The Whirly Dirly Conspiracy
Episode:
","To bolster Jerry's self-esteem, Rick takes him on an adventure at Morty's request. They visit an otherworldly resort within an immortality field so Jerry won't be harmed while away. Jerry encounters Risotto Groupon, an alien who blames Rick for his kingdom being usurped. Risotto enlists Jerry in a plot to kill Rick, but Jerry backs out after Rick apologizes for ruining his marriage. The attempt fails, and Rick realizes Jerry's involvement, sparking a monologue of him accusing Jerry of deliberately acting helpless to guilt others into helping him, such as making Beth feel she was obligated to marry him. After Rick kills Risotto, he softens his attitude towards Jerry, but refuses to allow him to return to the family. Meanwhile, Summer deals with self-esteem issues as well. Her boyfriend, Ethan, leaves her for a larger-breasted girlfriend, and Summer attempts to enlarge her own breasts using one of Rick's devices. Her aim is off, and she grows to bizarre proportions. Morty wants to call Rick for assistance, but Beth refuses. Arrogantly trying to prove her own self-worth, Beth repeatedly fails to fix the problem and ends up turning Summer inside-out. Beth is then tricked into releasing three tiny technical support workers that were trapped inside the machine when she calls for tech support. Summer disappears to the campsite she and Ethan were supposed to go, still inside out. Beth turns herself inside out and talks to Summer. Once Morty figures out how the machine works, he restores Summer's size and spitefully uses it to deform Ethan in an act of vengeance."
26,"Generate a Rick and Morty episode based on the title.
Title: Rest and Ricklaxation
Episode:
","After a six-day outer space adventure that leaves them on the verge of psychological collapse, Rick and Morty decide to spend some time at an alien spa, where they use a machine that extracts a person's negative personality traits. However, without Rick and Morty knowing, those traits are transposed into toxic physical counterparts, characterized by Rick's arrogance and Morty's self-loathing. On the other hand, the Clean Rick becomes more considerate, and Clean Morty's confidence soars, which allows him to start dating girls. However, a side effect is that both Clean Rick and Morty effectively lose their ability to form emotional attachments. Swearing revenge on Clean Rick, Toxic Rick takes Toxic Morty, breaks out of the machine, and uses a moonlight tower to remake the whole Earth into a toxic version of itself. Clean Rick reverts the situation by poisoning Toxic Morty, correctly deducing that the true Rick considered his compassion for Morty a weakness, meaning Toxic Rick has inherited that trait. Toxic Rick angrily merges with Clean Rick to save Toxic Morty, bringing back the true Rick. Clean Morty avoids merging back with his toxic counterpart and goes on to live a life as a stockbroker in New York City. Rick tracks him down with Jessica's help and restores order by re-injecting Toxic Morty back into Clean Morty."
27,"Generate a Rick and Morty episode based on the title.
Title: The Ricklantis Mixup
Episode:
","As Rick and Morty adventure to Atlantis, the episode shifts focus towards the Citadel, a secret society populated by numerous versions of Ricks and Mortys. There, a group of Mortys journey to a portal to have their wishes granted; a novice police officer Rick starts working with a veteran police Morty to take down drug dealers, and a worker Rick revolts at a wafer factory, where the key ingredient is extracted from a Rick hooked up to a machine to re-experience his best memories. Meanwhile, an election is held for the new president of the Citadel. Despite being the underdog, the Morty Party candidate manages to secure the presidency. When his campaign manager receives information that the new president is in fact Eyepatch Morty from the first-season episode ""Close Rick-counters of the Rick Kind"", he attempts to assassinate him but he fails. President Morty then orders the execution of a shadow council of Ricks and anybody else he considers a potential threat to his rule."
28,"Generate a Rick and Morty episode based on the title.
Title: Morty's Mind Blowers
Episode:
","After Morty requests to have a traumatic memory deleted, Rick reveals a room where he has been storing a number of memories he has removed from Morty's mind. However, as it turns out, besides the memories that Morty did not want to keep from their adventures, the room also contains memories in which Rick was made to look foolish, so he had them forcibly removed from Morty. This revelation prompts a fight, during which Rick and Morty have their memories accidentally erased. Morty scours the memories around him to replace the ones he lost, but he is displeased with the truth he finds, and convinces Rick that they should kill themselves. Summer enters the room moments before they committed suicide. At this point, it is revealed that Rick has a contingency plan should this happen. Following written instructions, Summer tranquilizes Rick and Morty, restores their memories, and drags them to the living room. Rick and Morty wake up on the couch, believing that they slept through an entire ""Interdimensional Cable"" episode."
29,"Generate a Rick and Morty episode based on the title.
Title: The ABC's of Beth
Episode:
","Rick and Beth enter Froopyland, a fantasy world created by Rick for young Beth. Their goal is to recover Tommy, Beth's childhood friend who has been trapped in Froopyland, and prevent the execution of his father, who is being falsely accused of eating him. Tommy, who has survived all these years by resorting to bestiality, incest and cannibalism, refuses to return to the real world. Rick and Beth manage to save his father's life by creating a clone of Tommy. Back at home, Beth is presented with the option of having a replacement clone of her created, so that she will be free to travel the world. Meanwhile, Jerry dates an alien hunter named Kiara, to Morty and Summer's dismay. When he decides to get out of the relationship, Kiara is enraged and tries to kill the kids, whom she holds responsible. The situation is resolved following the revelation that Kiara was using Jerry to get over her previous boyfriend, much like Jerry was doing with her."
30,"Generate a Rick and Morty episode based on the title.
Title: The Rickchurian Mortydate
Episode:
","The President calls on Rick and Morty to defeat a monster in the tunnels underneath the White House, which they do with little effort. Annoyed that he constantly calls on them without any gratitude, they go back home to play Minecraft, with the President quickly finding out. The resulting argument leads to a battle of egos that culminates in a fight in the White House between Rick and the President's security. Meanwhile, fearing she might be a clone made by Rick, Beth reunites with Jerry to figure out the truth. Shortly after, the entire family gets together to hide from Rick, but he tracks them down. Rick eventually submits to Jerry once again being a family member. Rick ends his conflict with the President by pretending to be Fly Fishing Rick, a Rick from a different reality, and calling a truce. The episode ends with the family happy to be together again, except for Rick who is disappointed about losing his dominant position."
31,"Generate a Rick and Morty episode based on the title.
Title: Edge of Tomorty: Rick Die Rickpeat
Episode:
","Rick takes Morty to an alien planet to harvest special crystals that can show the holder all of their possible future deaths, and Morty takes one without Rick's knowledge. Upon seeing one of his possible futures dying old with Jessica, Morty begins taking whatever action would lead to that future, resulting in him inadvertently killing Rick. Holographic Rick then appears and instructs Morty to collect Rick's DNA so he can be cloned and resurrected. Seeing that following Holographic Rick's instructions won't give him the future he wants, Morty refuses to clone Rick. Meanwhile, Rick's consciousness is routed into clones of alternate universe Ricks. All of the alternate Ricks end up being fascist and hostile except for Wasp Rick, who agrees to help. Morty meanwhile causes chaos as he kills numerous people and uses special ferro-fluid to turn himself into a cyborg abomination to pursue his desired future. Rick, Wasp Rick, and Holographic Rick team up to turn Morty back to normal. The ferro-fluid then bonds with Holographic Rick, causing him to become hostile and forcing Wasp Rick to kill him. Jerry and Beth are angry at Rick, but Morty takes responsibility for the damage he caused. Rick and Morty agree to share responsibility in future adventures."
32,"Generate a Rick and Morty episode based on the title.
Title: The Old Man and the Seat
Episode:
","Rick leaves the house for his personal toilet since he is a private pooper. While Rick is gone, Jerry disobeys his explicit instructions and asks Rick's new intern Glootie to develop an app for him. Glootie develops a matchmaking app that Jerry names ""Lovefinderrz"", whose advice its users, including Summer, impulsively follow as the app constantly changes who they should be matched with. Beth attempts to block Summer's relationships due to her still being underage. Morty forces Glootie to take him and Jerry to his mothership, where it is revealed Glootie's species plans to use the app to distract humanity while they invade Earth for its water. Jerry convinces Glootie to help by showing him that they both are considered incompatible to anybody by the app, and Glootie sabotages the app by implementing an ad wall. Meanwhile, Rick finds out someone else used his toilet and tracks down an alien businessman named Tony, who admits his guilt and points out they are both private poopers since pooping is the only amount of control they feel they have in their lives. Despite many threats, Rick never follows through with killing Tony, and when he dies in an accident, Rick provides Tony's father with a means to clone him. It's then revealed that Rick prepared an elaborate holographic routine that would have insulted Tony the next time he used his toilet."
33,"Generate a Rick and Morty episode based on the title.
Title: One Crew over the Crewcoo's Morty
Episode:
","As Rick and Morty raid an alien tomb, Rick is furious to find out that the treasure has already been stolen by the famous alien heist artist Miles Knightly. Rick then assembles a crew to gain entry into HeistCon to confront Miles. They agree to a bet to see who can steal the Crystal Skull of Horowitz first. Miles then reveals he already stole the Crystal Skull by recruiting Rick's team, but Rick reveals with the help of Heist-o-Tron, he predicted Miles' plan and hypnotized his team to steal the Crystal Skull for him instead. He then orders the HeistCon crowd, who have also been hypnotized by Heist-o-Tron, to steal HeistCon, which results in Miles' death. Heist-o-Tron then goes rogue and begins stealing planets, forcing Rick to organize a second team which includes Mr. Poopybutthole. To counter Heist-o-Tron, Rick builds Rand-o-Tron, whose random instructions help the team track down Heist-o-Tron. Rick and Heist-o-Tron then get into an argument over whose plan is superior before Heist-o-Tron realizes the perfect heist is the one that will never be written and self destructs. Morty then goes to Netflix to submit his heist screenplay but loses motivation when he realizes how formulaic his screenplay is. It is then revealed that Rick orchestrated the entire heist adventure to sour Morty on heists so that he won't join Netflix and continue adventuring with Rick instead."
34,"Generate a Rick and Morty episode based on the title.
Title: Claw and Hoarder: Special Ricktim's Morty
Episode:
","After being pestered by Morty to get him a dragon, Rick reluctantly makes a deal with a wizard, who creates a soul contract between Morty and the dragon Balthromaw. Meanwhile, Jerry encounters a talking cat in his bedroom, but Rick insists he has nothing to do with it. The cat convinces Jerry to take it to Florida to find fun at beach party, but the cat betrays Jerry by accusing him of defecating on the beach. However, the cat only ends up annoying everybody at the party, resulting in it getting kicked out along with Jerry. Morty tries to play with Balthromaw, but it is clear Balthromaw doesn't like Morty, which frustrates him. Angered at Balthromaw stealing Morty's attention, Rick tries to kill the dragon, but they both end up realizing they have much in common and inadvertently soul bond. The Wizard then arrives, accuses Balthromaw of being a ""slut dragon"", and takes him away to be executed. Rick helps Morty rescue Balthromaw, since the soul bond means he will die if Balthromaw does. With the help of other slut dragons, Rick and Morty are able to rescue Balthromaw, kill the Wizard, and break the soul bond. Now uncomfortable with how sexual dragons are, Rick and Morty part ways with Balthromaw. Rick and Jerry scan the cat's mind to figure out why it can talk, and are horrified at what they see. They chase the cat away and Rick erases Jerry's memory of the incident."
